city,zone,season,avg_rainfall_mm,avg_temp_c,avg_aqi,historical_claims,disruption_freq,risk_score
mumbai,andheri,monsoon,45.2,30.1,120,85,0.78,0.82
mumbai,bandra,monsoon,42.8,29.5,115,72,0.72,0.79
mumbai,dadar,monsoon,48.1,30.5,125,90,0.81,0.85
mumbai,andheri,summer,2.1,37.8,95,12,0.15,0.35
mumbai,bandra,summer,1.8,36.9,100,10,0.12,0.32
mumbai,dadar,summer,2.5,38.2,110,15,0.18,0.38
mumbai,andheri,winter,0.5,24.5,85,5,0.05,0.15
mumbai,bandra,winter,0.3,23.8,80,3,0.03,0.12
delhi,connaught_place,summer,1.2,44.5,280,78,0.72,0.85
delhi,karol_bagh,summer,1.5,45.1,310,82,0.76,0.88
delhi,dwarka,summer,1.0,43.8,250,65,0.65,0.78
delhi,connaught_place,monsoon,35.2,33.5,150,55,0.55,0.65
delhi,karol_bagh,monsoon,38.1,34.2,160,60,0.58,0.68
delhi,dwarka,monsoon,32.0,32.8,140,48,0.48,0.58
delhi,connaught_place,winter,0.2,12.5,420,95,0.88,0.92
delhi,karol_bagh,winter,0.3,11.8,450,98,0.92,0.95
delhi,dwarka,winter,0.1,13.2,380,88,0.82,0.88
bangalore,koramangala,monsoon,25.5,26.8,70,35,0.35,0.45
bangalore,hsr_layout,monsoon,28.2,27.1,75,38,0.38,0.48
bangalore,whitefield,monsoon,22.1,26.5,65,30,0.30,0.40
bangalore,koramangala,summer,5.2,35.5,85,20,0.20,0.42
bangalore,hsr_layout,summer,4.8,34.8,80,18,0.18,0.38
bangalore,whitefield,summer,3.5,33.5,75,15,0.15,0.35
bangalore,koramangala,winter,1.2,22.5,60,8,0.08,0.18
bangalore,hsr_layout,winter,1.0,21.8,55,6,0.06,0.15
chennai,t_nagar,monsoon,55.2,31.5,100,90,0.85,0.88
chennai,anna_nagar,monsoon,52.1,30.8,95,85,0.80,0.85
chennai,adyar,monsoon,58.5,32.1,105,95,0.88,0.90
chennai,t_nagar,summer,3.5,40.2,110,25,0.25,0.55
chennai,anna_nagar,summer,3.0,39.5,105,22,0.22,0.50
chennai,adyar,summer,4.2,41.0,115,28,0.28,0.58
chennai,t_nagar,winter,8.5,25.5,80,12,0.12,0.25
chennai,anna_nagar,winter,7.2,24.8,75,10,0.10,0.22
hyderabad,madhapur,monsoon,20.5,29.5,90,40,0.40,0.50
hyderabad,gachibowli,monsoon,18.2,28.8,85,35,0.35,0.45
hyderabad,banjara_hills,monsoon,22.1,30.2,95,45,0.42,0.52
hyderabad,madhapur,summer,2.8,42.5,120,30,0.30,0.55
hyderabad,gachibowli,summer,2.2,41.8,115,25,0.25,0.48
hyderabad,banjara_hills,summer,3.5,43.2,125,35,0.32,0.58
hyderabad,madhapur,winter,0.8,20.5,80,8,0.08,0.18
hyderabad,gachibowli,winter,0.5,19.8,75,5,0.05,0.12
hyderabad,banjara_hills,winter,1.0,21.2,85,10,0.10,0.20
